backbone,checkpoint,cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,dataset,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pair_mode,pid,rss_mb,run_id,runtime_log,seconds_since_start,seed,shots,step,timestamp,val_top1
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/checkpoints/gpa.pt,,,,eurosat,,stage1_complete,,,,,,,,,,,,promptsrc-nc-main-20260510-192529,,,1,16,,,0.85
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed2/ViT-B-16/checkpoints/gpa.pt,,,,eurosat,,stage1_complete,,,,,,,,,,,,promptsrc-nc-main-20260510-192529,,,2,16,,,0.925
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed3/ViT-B-16/checkpoints/gpa.pt,,,,eurosat,,stage1_complete,,,,,,,,,,,,promptsrc-nc-main-20260510-192529,,,3,16,,,0.925
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage2/eurosat/shot16/seed1/ViT-B-16/real/checkpoints/final.pt,,,,eurosat,,stage2_complete,,,,,,,,,real,,,promptsrc-nc-main-20260510-192529,,,1,16,,,0.875
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage2/eurosat/shot16/seed1/ViT-B-16/shuffled/checkpoints/final.pt,,,,eurosat,,stage2_complete,,,,,,,,,shuffled,,,promptsrc-nc-main-20260510-192529,,,1,16,,,0.85
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage2/eurosat/shot16/seed2/ViT-B-16/real/checkpoints/final.pt,,,,eurosat,,stage2_complete,,,,,,,,,real,,,promptsrc-nc-main-20260510-192529,,,2,16,,,0.875
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage2/eurosat/shot16/seed2/ViT-B-16/shuffled/checkpoints/final.pt,,,,eurosat,,stage2_complete,,,,,,,,,shuffled,,,promptsrc-nc-main-20260510-192529,,,2,16,,,0.925
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage2/eurosat/shot16/seed3/ViT-B-16/real/checkpoints/final.pt,,,,eurosat,,stage2_complete,,,,,,,,,real,,,promptsrc-nc-main-20260510-192529,,,3,16,,,0.925
ViT-B-16,/vol/runs/promptsrc-nc-main-20260510-192529/stage2/eurosat/shot16/seed3/ViT-B-16/shuffled/checkpoints/final.pt,,,,eurosat,,stage2_complete,,,,,,,,,shuffled,,,promptsrc-nc-main-20260510-192529,,,3,16,,,0.9
,,0.0,595.61376953125,1356.0,,1,runtime_step,train_stage1,20,23034.0,2072.875,97,modal,1301.61279296875,1356.0,,2,4819.92578125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,16.624590024,,,20,2026-05-10T09:32:34.039907Z,
,,0.0,595.61376953125,1356.0,,1,runtime_step,train_stage1,40,23034.0,2072.875,97,modal,1301.61279296875,1356.0,,2,4819.93359375,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,19.804128302,,,40,2026-05-10T09:32:37.411160Z,
,,0.0,595.61376953125,1836.0,,2,runtime_step,train_stage1,60,23034.0,2552.875,94,modal,1301.61279296875,1836.0,,2,4894.30078125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,38.87402437,,,20,2026-05-10T09:32:56.477519Z,
,,0.0,595.61376953125,1836.0,,2,runtime_step,train_stage1,80,23034.0,2552.875,94,modal,1301.61279296875,1836.0,,2,4894.30078125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,41.365861433000006,,,40,2026-05-10T09:32:58.946780Z,
,,0.0,595.61376953125,1836.0,,3,runtime_step,train_stage1,100,23034.0,2552.875,94,modal,1301.61279296875,1836.0,,2,4894.5703125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,45.80729778999999,,,20,2026-05-10T09:33:03.411961Z,
,,0.0,595.61376953125,1836.0,,3,runtime_step,train_stage1,120,23034.0,2552.875,97,modal,1301.61279296875,1836.0,,2,4894.5703125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,48.28804684799999,,,40,2026-05-10T09:33:05.894910Z,
,,0.0,595.61376953125,1836.0,,4,runtime_step,train_stage1,140,23034.0,2552.875,93,modal,1301.61279296875,1836.0,,2,4894.57421875,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,52.548773084000004,,,20,2026-05-10T09:33:10.153358Z,
,,0.0,595.61376953125,1836.0,,4,runtime_step,train_stage1,160,23034.0,2552.875,98,modal,1301.61279296875,1836.0,,2,4894.57421875,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,55.026089439,,,40,2026-05-10T09:33:12.632769Z,
,,0.0,595.61376953125,1836.0,,5,runtime_step,train_stage1,180,23034.0,2552.875,79,modal,1301.61279296875,1836.0,,2,4894.66015625,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,59.412157163,,,20,2026-05-10T09:33:17.014792Z,
,,0.0,595.61376953125,1836.0,,5,runtime_step,train_stage1,200,23034.0,2552.875,96,modal,1301.61279296875,1836.0,,2,4894.66015625,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,61.920140902,,,40,2026-05-10T09:33:19.527068Z,
,,0.0,595.61376953125,1836.0,,6,runtime_step,train_stage1,220,23034.0,2552.875,93,modal,1301.61279296875,1836.0,,2,4894.66015625,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,66.655205351,,,20,2026-05-10T09:33:24.260357Z,
,,0.0,595.61376953125,1836.0,,6,runtime_step,train_stage1,240,23034.0,2552.875,94,modal,1301.61279296875,1836.0,,2,4894.66015625,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,69.1352833,,,40,2026-05-10T09:33:26.742069Z,
,,0.0,595.61376953125,1836.0,,7,runtime_step,train_stage1,260,23034.0,2552.875,97,modal,1301.61279296875,1836.0,,2,4894.66015625,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,73.434950516,,,20,2026-05-10T09:33:31.039750Z,
,,0.0,595.61376953125,1836.0,,7,runtime_step,train_stage1,280,23034.0,2552.875,92,modal,1301.61279296875,1836.0,,2,4894.66015625,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,75.938477786,,,40,2026-05-10T09:33:33.545019Z,
,,0.0,595.78955078125,1838.0,,8,runtime_step,train_stage1,300,23034.0,2554.875,93,modal,1301.78857421875,1838.0,,2,4894.66015625,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,80.70122062600001,,,20,2026-05-10T09:33:38.305727Z,
,,0.0,595.78955078125,1838.0,,8,runtime_step,train_stage1,320,23034.0,2554.875,94,modal,1301.78857421875,1838.0,,2,4894.66015625,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,83.19170535800001,,,40,2026-05-10T09:33:40.798315Z,
,,0.0,595.78955078125,1838.0,,9,runtime_step,train_stage1,340,23034.0,2554.875,90,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,87.594445449,,,20,2026-05-10T09:33:45.199535Z,
,,0.0,595.78955078125,1838.0,,9,runtime_step,train_stage1,360,23034.0,2554.875,96,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,90.08928759700001,,,40,2026-05-10T09:33:47.696280Z,
,,0.0,595.78955078125,1838.0,,10,runtime_step,train_stage1,380,23034.0,2554.875,90,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,94.53331241800001,,,20,2026-05-10T09:33:52.136834Z,
,,0.0,595.78955078125,1838.0,,10,runtime_step,train_stage1,400,23034.0,2554.875,98,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,97.023969009,,,40,2026-05-10T09:33:54.631228Z,
,,0.0,595.78955078125,1838.0,,11,runtime_step,train_stage1,420,23034.0,2554.875,95,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,101.783096696,,,20,2026-05-10T09:33:59.387851Z,
,,0.0,595.78955078125,1838.0,,11,runtime_step,train_stage1,440,23034.0,2554.875,91,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,104.303813109,,,40,2026-05-10T09:34:01.910920Z,
,,0.0,595.78955078125,1838.0,,12,runtime_step,train_stage1,460,23034.0,2554.875,97,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,109.348220853,,,20,2026-05-10T09:34:06.953267Z,
,,0.0,595.78955078125,1838.0,,12,runtime_step,train_stage1,480,23034.0,2554.875,94,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,111.84398654900001,,,40,2026-05-10T09:34:09.451014Z,
,,0.0,595.78955078125,1838.0,,13,runtime_step,train_stage1,500,23034.0,2554.875,96,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,116.140810636,,,20,2026-05-10T09:34:13.745673Z,
,,0.0,595.78955078125,1838.0,,13,runtime_step,train_stage1,520,23034.0,2554.875,93,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,118.651605814,,,40,2026-05-10T09:34:16.258630Z,
,,0.0,595.78955078125,1838.0,,14,runtime_step,train_stage1,540,23034.0,2554.875,97,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,122.879818601,,,20,2026-05-10T09:34:20.484433Z,
,,0.0,595.78955078125,1838.0,,14,runtime_step,train_stage1,560,23034.0,2554.875,96,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,125.379278506,,,40,2026-05-10T09:34:22.986402Z,
,,0.0,595.78955078125,1838.0,,15,runtime_step,train_stage1,580,23034.0,2554.875,94,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,129.78221162399998,,,20,2026-05-10T09:34:27.386939Z,
,,0.0,595.78955078125,1838.0,,15,runtime_step,train_stage1,600,23034.0,2554.875,96,modal,1301.78857421875,1838.0,,2,4894.86328125,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,132.303909399,,,40,2026-05-10T09:34:29.911093Z,
,,0.0,595.78955078125,1838.0,,16,runtime_step,train_stage1,620,23034.0,2554.875,95,modal,1301.78857421875,1838.0,,2,4894.8671875,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,136.680048192,,,20,2026-05-10T09:34:34.284919Z,
,,0.0,595.78955078125,1838.0,,16,runtime_step,train_stage1,640,23034.0,2554.875,94,modal,1301.78857421875,1838.0,,2,4894.8671875,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,139.19268200899998,,,40,2026-05-10T09:34:36.799734Z,
,,0.0,595.78955078125,1838.0,,17,runtime_step,train_stage1,660,23034.0,2554.875,95,modal,1301.78857421875,1838.0,,2,4894.8671875,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,143.75301899,,,20,2026-05-10T09:34:41.357621Z,
,,0.0,595.78955078125,1838.0,,17,runtime_step,train_stage1,680,23034.0,2554.875,93,modal,1301.78857421875,1838.0,,2,4894.8671875,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,146.291737724,,,40,2026-05-10T09:34:43.898571Z,
,,0.0,595.78955078125,1838.0,,18,runtime_step,train_stage1,700,23034.0,2554.875,91,modal,1301.78857421875,1838.0,,2,4894.8671875,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,150.885256036,,,20,2026-05-10T09:34:48.490373Z,
,,0.0,595.78955078125,1838.0,,18,runtime_step,train_stage1,720,23034.0,2554.875,97,modal,1301.78857421875,1838.0,,2,4894.8671875,promptsrc-nc-main-20260510-192529,/vol/runs/promptsrc-nc-main-20260510-192529/stage1/eurosat/shot16/seed1/ViT-B-16/logs/runtime.jsonl,153.409740723,,,40,2026-05-10T09:34:51.016802Z,
