dataset,edge_disagreement,mean_confidence,mean_entropy,mean_js,mean_real_cosine,mean_shuffled_cosine,method,pair_mode,run_id,seed,shots,shuffle_weak_shuffled_control
eurosat,0.10614744573831558,0.8155253529548645,0.6271275877952576,0.04046479985117912,0.9703947305679321,0.8109025359153748,PromptSRC,none,promptsrc-nc-main-20260510-192529,1,16,
eurosat,0.10206484794616699,0.8176349401473999,0.6239022612571716,0.039274368435144424,0.9703947305679321,0.8109025359153748,PromptSRC-NC real,real,promptsrc-nc-main-20260510-192529,1,16,
eurosat,0.115176260471344,0.7588041424751282,0.80389404296875,0.03884364292025566,0.9703947305679321,0.8109025359153748,PromptSRC-NC shuffled,shuffled,promptsrc-nc-main-20260510-192529,1,16,
eurosat,0.10370078682899475,0.8164422512054443,0.6201711893081665,0.04166296124458313,0.9704165458679199,0.8110396265983582,PromptSRC,none,promptsrc-nc-main-20260510-192529,2,16,
eurosat,0.100944884121418,0.8179652094841003,0.6182273626327515,0.04030121490359306,0.9704165458679199,0.8110396265983582,PromptSRC-NC real,real,promptsrc-nc-main-20260510-192529,2,16,
eurosat,0.11055117845535278,0.7604074478149414,0.796983003616333,0.04023907333612442,0.9704165458679199,0.8110396265983582,PromptSRC-NC shuffled,shuffled,promptsrc-nc-main-20260510-192529,2,16,
eurosat,0.1012120246887207,0.8236182332038879,0.5974419116973877,0.03944993019104004,0.9704123735427856,0.8103396892547607,PromptSRC,none,promptsrc-nc-main-20260510-192529,3,16,
eurosat,0.09609632939100266,0.8254995346069336,0.5934880971908569,0.03838511183857918,0.9704123735427856,0.8103396892547607,PromptSRC-NC real,real,promptsrc-nc-main-20260510-192529,3,16,
eurosat,0.10365182161331177,0.7616094350814819,0.7961439490318298,0.036810252815485,0.9704123735427856,0.8103396892547607,PromptSRC-NC shuffled,shuffled,promptsrc-nc-main-20260510-192529,3,16,
