dataset,n_paired_seeds,top1_real_neighbors_minus_promptsrc_pp,top1_real_neighbors_minus_promptsrc_std_pp,top1_real_neighbors_minus_randomized_neighbors_pp,top1_real_neighbors_minus_randomized_neighbors_std_pp,macro_real_neighbors_minus_promptsrc_pp,macro_real_neighbors_minus_promptsrc_std_pp,macro_real_neighbors_minus_randomized_neighbors_pp,macro_real_neighbors_minus_randomized_neighbors_std_pp
EuroSAT,3,0.4320987654321022,0.05381356720420308,1.3251028806584388,0.26023723051461056,0.4151851851851814,0.05289558003116159,1.3733333333333375,0.20665173183792365
Flowers102,1,0.6496142915144221,,0.6496142915144221,,0.43160390874834587,,0.46816441280110865,
