backbone,checkpoint,cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,dataset,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pair_mode,pid,rss_mb,run_id,runtime_log,seconds_since_start,seed,shots,step,timestamp,val_top1
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,240,23034.0,4690.875,98,modal,3822.82421875,3974.0,,2,4813.81640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,101.82311659099999,,,240,2026-05-10T09:31:43.920689Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,260,23034.0,4690.875,98,modal,3822.82421875,3974.0,,2,4813.81640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,109.13056370299999,,,260,2026-05-10T09:31:51.226400Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,280,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.81640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,116.437948767,,,280,2026-05-10T09:31:58.535789Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,300,23034.0,4690.875,98,modal,3822.82421875,3974.0,,2,4813.81640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,123.774438942,,,300,2026-05-10T09:32:05.871833Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,320,23034.0,4690.875,97,modal,3822.82421875,3974.0,,2,4813.81640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,131.145612169,,,320,2026-05-10T09:32:13.243025Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,340,23034.0,4690.875,98,modal,3822.82421875,3974.0,,2,4813.81640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,138.516516249,,,340,2026-05-10T09:32:20.613466Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,360,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.81640625,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,145.872793101,,,360,2026-05-10T09:32:27.969578Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,380,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.8203125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,153.211065135,,,380,2026-05-10T09:32:35.308600Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,400,23034.0,4690.875,98,modal,3822.82421875,3974.0,,2,4813.8203125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,160.534799509,,,400,2026-05-10T09:32:42.632062Z,
,,0.0,610.20947265625,3974.0,,1,runtime_step,train_stage1,408,23034.0,4690.875,100,modal,3822.82421875,3974.0,,2,4813.8203125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,163.46729894400002,,,408,2026-05-10T09:32:45.562314Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,420,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,177.48018489700002,,,12,2026-05-10T09:32:59.573759Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,440,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,184.877002769,,,32,2026-05-10T09:33:06.974470Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,460,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,192.285769004,,,52,2026-05-10T09:33:14.383426Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,480,23034.0,5576.875,98,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,199.69141105100002,,,72,2026-05-10T09:33:21.789212Z,
,,0.0,610.20947265625,4860.0,,2,runtime_step,train_stage1,500,23034.0,5576.875,97,modal,3822.82421875,4860.0,,2,5210.703125,promptsrc-nc-main-20260510-192533,/vol/runs/promptsrc-nc-main-20260510-192533/stage1/oxford_flowers/shot16/seed1/ViT-B-16/logs/runtime.jsonl,207.041337593,,,92,2026-05-10T09:33:29.138477Z,
