cpu_percent,cuda_memory_allocated_mb,cuda_memory_reserved_mb,epoch,event,function,global_step,gpu_memory_total_mb,gpu_memory_used_mb,gpu_utilization_percent,hostname,max_cuda_memory_allocated_mb,max_cuda_memory_reserved_mb,pid,rss_mb,run_id,runtime_log,seconds_since_start,step,timestamp
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,320,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,220.489603578,320,2026-05-10T09:35:30.121995Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,340,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,233.19481230699998,340,2026-05-10T09:35:42.827414Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,360,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,245.955923443,360,2026-05-10T09:35:55.588607Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,380,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,258.741024085,380,2026-05-10T09:36:08.373586Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,400,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,271.48450824,400,2026-05-10T09:36:21.117092Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,420,23034.0,7328.875,98,modal,6377.95263671875,6612.0,2,4819.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,284.223016371,420,2026-05-10T09:36:33.855563Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,440,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,296.97952258600003,440,2026-05-10T09:36:46.612008Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,460,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.4296875,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,309.775810379,460,2026-05-10T09:36:59.408341Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,480,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,322.57101502200004,480,2026-05-10T09:37:12.203528Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,500,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,335.39143785100003,500,2026-05-10T09:37:25.023890Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,520,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,348.257658553,520,2026-05-10T09:37:37.890365Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,540,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,361.15052524500004,540,2026-05-10T09:37:50.783168Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,560,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,374.01756836100003,560,2026-05-10T09:38:03.650209Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,580,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,386.90351545600004,580,2026-05-10T09:38:16.535951Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,600,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,399.770322888,600,2026-05-10T09:38:29.402739Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,620,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,412.609018805,620,2026-05-10T09:38:42.241362Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,640,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,425.48461954600003,640,2026-05-10T09:38:55.116665Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,660,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,438.365992945,660,2026-05-10T09:39:07.998569Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,680,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,451.179481592,680,2026-05-10T09:39:20.812035Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,700,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,463.986570156,700,2026-05-10T09:39:33.619024Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,720,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,476.82157683500003,720,2026-05-10T09:39:46.453516Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,740,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,489.70126225800004,740,2026-05-10T09:39:59.333714Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,760,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,502.614108536,760,2026-05-10T09:40:12.246491Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,780,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,515.47995143,780,2026-05-10T09:40:25.112530Z
0.0,624.818359375,6612.0,1,runtime_step,train_stage1,784,23034.0,7328.875,100,modal,6377.95263671875,6612.0,2,4819.43359375,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,518.051703004,784,2026-05-10T09:40:27.684320Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,800,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,558.192720085,16,2026-05-10T09:41:07.823154Z
0.0,624.818359375,7498.0,2,runtime_step,train_stage1,820,23034.0,8216.875,100,modal,6377.95263671875,7498.0,2,5844.2578125,promptsrc-nc-main-20260510-192531,/vol/runs/promptsrc-nc-main-20260510-192531/stage1/stanford_cars/shot16/seed1/ViT-B-16/logs/runtime.jsonl,570.802302628,36,2026-05-10T09:41:20.434515Z
